Stat,Schema,08:33:48,08:43:49,08:53:49,09:03:49,09:13:49,09:23:49,09:33:49,09:43:49,09:53:49,10:03:50,10:13:50,10:23:50,10:33:50,10:43:50,10:53:50,11:03:50,11:13:50,11:23:50,11:33:50,11:43:50,11:53:50,12:03:51,12:13:51,12:23:51,12:33:51,12:43:51,12:53:04
llite,read_bytes,0,0,99870,2125,0,595733578,0,0,285,104,0,123,0,6150,0,0,625496,0,0,0,145031,0,0,0,0,267248,316
llite,write_bytes,0,0,0,23847,0,454025134891,0,2,0,864,0,0,624025,0,3565,11210,625472,12773,0,0,560,0,0,46,3564,266584,0
llite,direct_read,0,0,1440,144,0,969287321573,0,504769,6,85716,0,0,6,0,4708,109152,12892,122478,12892,0,0,0,0,0,1249253,405564,323584
llite,direct_write,0,0,18562,0,0,894263205092,0,628592,0,464896,0,0,8963,0,105947136,477,128596,577,268216,0,51,0,0,0,0,96,0
llite,dirty_pages_hits,0,0,114,1,0,7,707117782,628564,0,0,0,0,86381,0,902,0,128596,0,267852,0,0,1091274,0,0,18234,16248,0
llite,dirty_pages_misses,0,0,0,0,204797,12892,522496564801,12892,0,6787,0,0,351,0,6807,7,342072,8,405580,0,0,1,0,0,171579,24876,0
llite,ioctl,0,0,0,0,0,1531840,1138391295744,269228,0,67956,0,0,0,0,4938,0,829534,0,935103,0,0,15899,0,0,736,752,0
llite,open,0,49150,0,153878,2854,1531536,1051510856220,268864,0,313,0,0,130,0,42876928,0,0,0,0,0,0,152065,0,0,0,0,0
llite,close,2,0,53,0,32142,1522500,45706,816614556,0,0,0,0,0,675028,5307,0,12139,0,13600,0,0,589,0,0,50,2,0
llite,mmap,504769,537,0,2172,182,96,245,635211056226,0,6,0,9440,0,6,0,0,117719,0,130599,0,0,0,0,0,0,1300215,0
llite,seek,628592,10208,1725,23796,0,16240,0,1405779213533,0,1533848,518974,1668121,0,9643,1417,0,533,0,605,0,0,56,0,0,14302440,0,0
llite,fsync,0,82,0,139,1,24876,7,1294213196235,0,1533544,7,0,0,94643,6201,0,0,0,0,0,0,0,1143446,0,0,18941,0
llite,setattr,0,0,0,0,0,256770,0,361500,948917902,1522500,7461,0,0,384,504769,3565,8,0,9,0,0,0,1,68349968384,0,179851,0
llite,truncate,0,2,0,1,243,0,0,0,702609426620,96,73173,9453,0,0,625484,4708,185324,883596,3,988028,0,0,16533,59084345344,0,788,0
llite,flock,0,0,99974,0,204831,3734,0,5334,1581267155525,16240,330,478,0,138,625456,105947136,119788,0,0,0,0,0,159215,9265623040,0,0,0
llite,getattr,0,0,0,0,0,39243,0,52838,1457136696068,24876,0,1729557,0,0,727017,902,0,12860,2,14365,0,0,627,5309263872,0,51,0
